aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","2215298393415015023",true,4.8770467,false,"",0.19729574,0.040946,0.044645824,"",2,true,1,20.33779,18.724447,59969.29839120014,"ZTF18accucaj","",2215298393415,98.3805257,"ztf","ztf",20.263687,0.20656021,0.9977652,"d6_m7",20.2818,20.1191,2215,0.8371429,"t17_f5_c3",460120234,0.3944,0.4344,"1.1.6"
"","2282186873415015019",true,4.8770311,false,"",0.13469933,0.06583991,0.06685139,"",2,true,1,19.019066,18.258429,60036.18687500013,"ZTF18accucaj","",2282186873415,98.3804413,"ztf","ztf",19.701317,0.096886136,0.99999815,"d6_m7",18.9451,18.8379,2282,0.93714285,"t17_f5_c3",460120234,0.2,0.2322,"1.1.6"
"","2469484153415010034",true,4.8771686,false,"",0.290594,0.15965965,0.1636577,"",2,false,-1,20.1114,19.488026,60223.48415509984,"ZTF18accucaj",2483387323415010000,2469484153415,98.380544,"ztf","ztf",20.166,0.537523,"","",19.7541,19.7126,2469,0.594286,"t17_f5_c3","",0.2858,0.353,"1.2.1"
"","2483387323415010033",true,4.877111,false,"",0.19547345,0.12968718,0.13540486,"",2,true,-1,19.973085,19.574451,60237.387326399796,"ZTF18accucaj","",2483387323415,98.3804983,"ztf","ztf",20.51573,0.2847205,0.99985653,"d6_m7",20.1132,20.3479,2483,0.83428574,"t17_f5_c3",460120234,0.3053,0.4848,"1.2.1"
"","2536398833415010041",true,4.8770725,false,"",0.19944207,0.06710277,0.07415022,"",2,true,-1,20.420479,19.346218,60290.398831000086,"ZTF18accucaj","",2536398833415,98.3804407,"ztf","ztf",20.670675,0.15219226,0.99656516,"d6_m7",20.3658,20.5448,2536,0.80714285,"t17_f5_c3",460120234,0.3446,0.5203,"23.12.x"
"","2810467733415015019",true,4.8770008,false,"",0.1311288,0.050227407,0.052104842,"",2,true,1,19.455202,18.453152,60564.467731500044,"ZTF18accucaj","",2810467733415,98.3804761,"ztf","ztf",20.285788,0.13187611,0.99989116,"d6_m7",19.3049,19.1626,2810,0.9457143,"t17_f5_c3",460120234,0.1639,0.1835,"24.5.1"
"","2810485643415015085",true,4.8769795,false,"",0.272383,0.13992149,0.14088102,"",1,false,1,20.4242,19.708382,60564.4856480998,"ZTF18accucaj",2839499663415015000,2810485643415,98.3803591,"ztf","ztf",20.2858,0.36798,"","",20.5353,20.4491,2810,0.771429,"t17_f5_c3","",0.4323,0.5113,"24.5.1"
"","2837457363415015020",true,4.8770574,false,"",0.13879299,0.10076434,0.10118463,"",1,true,1,19.424425,19.081293,60591.457361099776,"ZTF18accucaj","",2837457363415,98.3804516,"ztf","ztf",20.500292,0.14619008,0.9999645,"d6_m7",19.6212,19.4677,2837,0.9128571,"t17_f5_c3",460120134,0.1736,0.1928,"24.5.1"
"","2837500103415015034",true,4.8770252,false,"",0.063281894,0.03899716,0.039911494,"",2,true,1,18.42192,17.921467,60591.500104200095,"ZTF18accucaj","",2837500103415,98.3804676,"ztf","ztf",20.134743,0.05302257,0.99898505,"d6_m7",18.4337,18.3095,2837,0.95285714,"t17_f5_c3",460120234,0.0923,0.1048,"24.5.1"
"","2839442673415015019",true,4.8770074,false,"",0.09125813,0.048554864,0.049673144,"",2,true,1,18.810038,18.149662,60593.44267359981,"ZTF18accucaj","",2839442673415,98.3804443,"ztf","ztf",20.316381,0.14943422,0.9999891,"d6_m7",18.8567,18.8657,2839,0.9557143,"t17_f5_c3",460120234,0.1056,0.1355,"24.5.1"
"","2839499663415015027",true,4.8769979,false,"",0.13450561,0.10514254,0.10539964,"",1,true,1,19.101858,18.837105,60593.49966439977,"ZTF18accucaj","",2839499663415,98.3805273,"ztf","ztf",20.103657,0.2678985,0.99745065,"d6_m7",19.0954,19.0599,2839,0.68857145,"t17_f5_c3",460120134,0.1035,0.1276,"24.5.1"
